Protocol,Department Longname,Department,Sector,Fuel Type,Year (Fiscal Year),GHG Emissions (t CO2e),,,,,,,,,
ICLEI: Local Government Operations Protocol,Emergency Medical Services,EMS,Buildings,Electricity,2008,206,,,,,,,,,
ICLEI: Local Government Operations Protocol,Emergency Medical Services,EMS,Buildings,Electricity,2009,206,,,,,,,,,
ICLEI: Local Government Operations Protocol,Emergency Medical Services,EMS,Buildings,Electricity,2010,199,,,,,,,,,
ICLEI: Local Government Operations Protocol,Emergency Medical Services,EMS,Buildings,Electricity,2011,163,,,,,,,,,
ICLEI: Local Government Operations Protocol,Emergency Medical Services,EMS,Buildings,Electricity,2012,174,,,,,,,,,
ICLEI: Local Government Operations Protocol,Emergency Medical Services,EMS,Buildings,Electricity,2013,178,,,,,,,,,
ICLEI: Local Government Operations Protocol,Emergency Medical Services,EMS,Buildings,Electricity,2014,162,,,,,,,,,
ICLEI: Local Government Operations Protocol,Emergency Medical Services,EMS,Buildings,Electricity,2015,161,,,,,,,,,
ICLEI: Local Government Operations Protocol,Emergency Medical Services,EMS,Buildings,Electricity,2016,157,,,,,,,,,
ICLEI: Local Government Operations Protocol,Emergency Medical Services,EMS,Buildings,Electricity,2017,148,,,,,,,,,
ICLEI: Local Government Operations Protocol,Emergency Medical Services,EMS,Buildings,Electricity,2018,79,,,,,,,,,
ICLEI: Local Government Operations Protocol,Emergency Medical Services,EMS,Buildings,Electricity,2019,74,,,,,,,,,
ICLEI: Local Government Operations Protocol,Emergency Medical Services,EMS,Buildings,Natural Gas,2005,222,,,,,,,,,
ICLEI: Local Government Operations Protocol,Emergency Medical Services,EMS,Buildings,Natural Gas,2006,213,,,,,,,,,
ICLEI: Local Government Operations Protocol,Emergency Medical Services,EMS,Buildings,Natural Gas,2007,222,,,,,,,,,
ICLEI: Local Government Operations Protocol,Emergency Medical Services,EMS,Buildings,Natural Gas,2008,251,,,,,,,,,
ICLEI: Local Government Operations Protocol,Emergency Medical Services,EMS,Buildings,Natural Gas,2009,259,,,,,,,,,
ICLEI: Local Government Operations Protocol,Emergency Medical Services,EMS,Buildings,Natural Gas,2010,233,,,,,,,,,
ICLEI: Local Government Operations Protocol,Emergency Medical Services,EMS,Buildings,Natural Gas,2011,272,,,,,,,,,
ICLEI: Local Government Operations Protocol,Emergency Medical Services,EMS,Buildings,Natural Gas,2012,197,,,,,,,,,
ICLEI: Local Government Operations Protocol,Emergency Medical Services,EMS,Buildings,Natural Gas,2013,226,,,,,,,,,
ICLEI: Local Government Operations Protocol,Emergency Medical Services,EMS,Buildings,Natural Gas,2014,197,,,,,,,,,
ICLEI: Local Government Operations Protocol,Emergency Medical Services,EMS,Buildings,Natural Gas,2015,186,,,,,,,,,
ICLEI: Local Government Operations Protocol,Emergency Medical Services,EMS,Buildings,Natural Gas,2016,148,,,,,,,,,
ICLEI: Local Government Operations Protocol,Emergency Medical Services,EMS,Buildings,Natural Gas,2017,272,,,,,,,,,
ICLEI: Local Government Operations Protocol,Emergency Medical Services,EMS,Buildings,Natural Gas,2018,264,,,,,,,,,
ICLEI: Local Government Operations Protocol,Emergency Medical Services,EMS,Buildings,Natural Gas,2019,306,,,,,,,,,
ICLEI: Local Government Operations Protocol,Emergency Medical Services,EMS,Buildings,Fuel Oil,2019,1,,,,,,,,,
ICLEI: Local Government Operations Protocol,Emergency Medical Services,EMS,Vehicles,Diesel,2005,426,,,,,,,,,
ICLEI: Local Government Operations Protocol,Emergency Medical Services,EMS,Vehicles,Diesel,2006,566,,,,,,,,,
ICLEI: Local Government Operations Protocol,Emergency Medical Services,EMS,Vehicles,Diesel,2007,683,,,,,,,,,
ICLEI: Local Government Operations Protocol,Emergency Medical Services,EMS,Vehicles,Diesel,2008,734,,,,,,,,,
