Protocol,Sector,Source,Year(Calendar Year), GHG Emissions(mt CO2e) ,,,,,,,,
Global Protocol for Community-Scale Greenhouse Gas Emission Inventories,All Sectors,Fugitive gas,2005,"27,289",,,,,,,,
Global Protocol for Community-Scale Greenhouse Gas Emission Inventories,All Sectors,Fugitive gas,2006,"27,946",,,,,,,,
Global Protocol for Community-Scale Greenhouse Gas Emission Inventories,All Sectors,Fugitive gas,2007,"29,069",,,,,,,,
Global Protocol for Community-Scale Greenhouse Gas Emission Inventories,All Sectors,Fugitive gas,2008,"30,587",,,,,,,,
Global Protocol for Community-Scale Greenhouse Gas Emission Inventories,All Sectors,Fugitive gas,2009,"29,054",,,,,,,,
Global Protocol for Community-Scale Greenhouse Gas Emission Inventories,All Sectors,Fugitive gas,2010,"29,136",,,,,,,,
Global Protocol for Community-Scale Greenhouse Gas Emission Inventories,All Sectors,Fugitive gas,2011,"30,565",,,,,,,,
Global Protocol for Community-Scale Greenhouse Gas Emission Inventories,All Sectors,Fugitive gas,2012,"27,296",,,,,,,,
Global Protocol for Community-Scale Greenhouse Gas Emission Inventories,All Sectors,Fugitive gas,2013,"30,653",,,,,,,, 
Global Protocol for Community-Scale Greenhouse Gas Emission Inventories,All Sectors,Fugitive gas,2014,"31,145",,,,,,,,
Global Protocol for Community-Scale Greenhouse Gas Emission Inventories,All Sectors,Fugitive gas,2015,"32,714",,,,,,,,
Global Protocol for Community-Scale Greenhouse Gas Emission Inventories,All Sectors,Fugitive gas,2016,"30,324",,,,,,,,
Global Protocol for Community-Scale Greenhouse Gas Emission Inventories,All Sectors,Fugitive gas,2017,"28,883",,,,,,,,
Global Protocol for Community-Scale Greenhouse Gas Emission Inventories,All Sectors,Fugitive gas,2018,"30,763",,,,,,,,
Global Protocol for Community-Scale Greenhouse Gas Emission Inventories,All Sectors,Fugitive gas,2019,"30,217",,,,,,,,
Global Protocol for Community-Scale Greenhouse Gas Emission Inventories,Transportation,BPS Buses,2005,"13,992",,,,,,,,
Global Protocol for Community-Scale Greenhouse Gas Emission Inventories,Transportation,BPS Buses,2006,"14,437",,,,,,,,
Global Protocol for Community-Scale Greenhouse Gas Emission Inventories,Transportation,BPS Buses,2007,"14,969",,,,,,,,
Global Protocol for Community-Scale Greenhouse Gas Emission Inventories,Transportation,BPS Buses,2008,"15,052",,,,,,,,
Global Protocol for Community-Scale Greenhouse Gas Emission Inventories,Transportation,BPS Buses,2009,"14,490",,,,,,,,
Global Protocol for Community-Scale Greenhouse Gas Emission Inventories,Transportation,BPS Buses,2010,"14,370",,,,,,,,
Global Protocol for Community-Scale Greenhouse Gas Emission Inventories,Transportation,BPS Buses,2011,"14,740",,,,,,,,
Global Protocol for Community-Scale Greenhouse Gas Emission Inventories,Transportation,BPS Buses,2012,"14,945",,,,,,,,
Global Protocol for Community-Scale Greenhouse Gas Emission Inventories,Transportation,BPS Buses,2013,"15,599",,,,,,,,
Global Protocol for Community-Scale Greenhouse Gas Emission Inventories,Transportation,BPS Buses,2014,"15,201",,,,,,,,
Global Protocol for Community-Scale Greenhouse Gas Emission Inventories,Transportation,BPS Buses,2015,"13,588",,,,,,,,
Global Protocol for Community-Scale Greenhouse Gas Emission Inventories,Transportation,BPS Buses,2016,"15,747",,,,,,,,
Global Protocol for Community-Scale Greenhouse Gas Emission Inventories,Transportation,BPS Buses,2017,"14,491",,,,,,,,
Global Protocol for Community-Scale Greenhouse Gas Emission Inventories,Transportation,BPS Buses,2018,"13,854",,,,,,,,
Global Protocol for Community-Scale Greenhouse Gas Emission Inventories,Transportation,BPS Buses,2019,"11,434",,,,,,,,
Global Protocol for Community-Scale Greenhouse Gas Emission Inventories,Transportation,Massport CNG,2005,"11,494",,,,,,,,
Global Protocol for Community-Scale Greenhouse Gas Emission Inventories,Transportation,Massport CNG,2006,"11,765",,,,,,,,
Global Protocol for Community-Scale Greenhouse Gas Emission Inventories,Transportation,Massport CNG,2007,"11,926",,,,,,,,
Global Protocol for Community-Scale Greenhouse Gas Emission Inventories,Transportation,Massport CNG,2008,"11,403",,,,,,,,
Global Protocol for Community-Scale Greenhouse Gas Emission Inventories,Transportation,Massport CNG,2009,"6,893",,,,,,,,
Global Protocol for Community-Scale Greenhouse Gas Emission Inventories,Transportation,Massport CNG,2010,"1,991",,,,,,,,
Global Protocol for Community-Scale Greenhouse Gas Emission Inventories,Transportation,Massport CNG,2011,"2,998",,,,,,,,
Global Protocol for Community-Scale Greenhouse Gas Emission Inventories,Transportation,Massport CNG,2012,"3,410",,,,,,,,
Global Protocol for Community-Scale Greenhouse Gas Emission Inventories,Transportation,Massport CNG,2013,"1,607",,,,,,,,
Global Protocol for Community-Scale Greenhouse Gas Emission Inventories,Transportation,Massport CNG,2014,"1,772",,,,,,,,
Global Protocol for Community-Scale Greenhouse Gas Emission Inventories,Transportation,Massport CNG,2015,"1,799",,,,,,,,
Global Protocol for Community-Scale Greenhouse Gas Emission Inventories,Transportation,Massport CNG,2016,"1,864",,,,,,,,
Global Protocol for Community-Scale Greenhouse Gas Emission Inventories,Transportation,Massport CNG,2017,"2,076",,,,,,,,
Global Protocol for Community-Scale Greenhouse Gas Emission Inventories,Transportation,Massport CNG,2018,"2,076",,,,,,,,
Global Protocol for Community-Scale Greenhouse Gas Emission Inventories,Transportation,Massport CNG,2019,"6,128",,,,,,,,
Global Protocol for Community-Scale Greenhouse Gas Emission Inventories,Transportation,Massport Diesel,2005,"11,208",,,,,,,,
Global Protocol for Community-Scale Greenhouse Gas Emission Inventories,Transportation,Massport Diesel,2006,"11,471",,,,,,,,
Global Protocol for Community-Scale Greenhouse Gas Emission Inventories,Transportation,Massport Diesel,2007,"11,625",,,,,,,,
Global Protocol for Community-Scale Greenhouse Gas Emission Inventories,Transportation,Massport Diesel,2008,"11,143",,,,,,,,
Global Protocol for Community-Scale Greenhouse Gas Emission Inventories,Transportation,Massport Diesel,2009,"12,027",,,,,,,,
Global Protocol for Community-Scale Greenhouse Gas Emission Inventories,Transportation,Massport Diesel,2010,"12,556",,,,,,,,
Global Protocol for Community-Scale Greenhouse Gas Emission Inventories,Transportation,Massport Diesel,2011,"11,342",,,,,,,,
Global Protocol for Community-Scale Greenhouse Gas Emission Inventories,Transportation,Massport Diesel,2012,"10,054",,,,,,,,
Global Protocol for Community-Scale Greenhouse Gas Emission Inventories,Transportation,Massport Diesel,2013,"12,559",,,,,,,,
Global Protocol for Community-Scale Greenhouse Gas Emission Inventories,Transportation,Massport Diesel,2014,"12,668",,,,,,,,
Global Protocol for Community-Scale Greenhouse Gas Emission Inventories,Transportation,Massport Diesel,2015,"13,086",,,,,,,,
Global Protocol for Community-Scale Greenhouse Gas Emission Inventories,Transportation,Massport Diesel,2016,"9,669",,,,,,,,
Global Protocol for Community-Scale Greenhouse Gas Emission Inventories,Transportation,Massport Diesel,2017,"14,566",,,,,,,,
Global Protocol for Community-Scale Greenhouse Gas Emission Inventories,Transportation,Massport Diesel,2018,"14,566",,,,,,,,
Global Protocol for Community-Scale Greenhouse Gas Emission Inventories,Transportation,Massport Diesel,2019,"13,424",,,,,,,,
Global Protocol for Community-Scale Greenhouse Gas Emission Inventories,Transportation,Massport Gasoline,2005,"6,972",,,,,,,,
Global Protocol for Community-Scale Greenhouse Gas Emission Inventories,Transportation,Massport Gasoline,2006,"7,136",,,,,,,,
